instance_name,run_num,distancia_minima,distancia_maxima,distancia_promedio,desviacion_distancia,tiempo_promedio
a280,12,6287.0,33254.0,7915.7074,2742.7112280299057,111.25094399790764
a280,20,6505.0,32205.0,7704.7834,2503.4578189165995,107.39876292271614
a280,3,6279.0,34075.0,7560.8132,2536.5404653212613,119.76894260787964
a280,31,6213.0,32165.0,7828.748,2434.689586861716,114.65762980084419
a280,7,5986.0,32612.0,7354.055,2607.607274402053,126.46641067209244
a280,29,6349.0,34228.0,7368.568,2593.0413935203005,122.01959353818893
a280,18,5994.0,31292.0,7530.8552,2577.026200223872,121.24585823249816
a280,25,6081.0,34437.0,7405.8004,2779.228185022008,127.57532131237984
a280,22,6108.0,33694.0,7216.382,2614.210815009582,122.43113087277412
a280,5,6245.0,34370.0,7701.8328,2597.6030669798024,119.44012009935379
a280,30,5966.0,34065.0,7548.1074,2648.570585560177,134.41838294906617
a280,2,6138.0,32135.0,7510.1414,2509.7192958565784,137.67756983704567
a280,1,6276.0,33375.0,7814.7746,2775.4045038925196,143.70374312381745
a280,19,6187.0,34437.0,7558.11,2629.592710566542,130.15344008393288
a280,28,6572.0,33770.0,7953.6762,2574.8320324542783,130.23642790379523
a280,16,5952.0,34033.0,7352.9768,2683.4786167508532,143.99789156570435
a280,8,6324.0,33941.0,7930.0978,2560.7778419976953,134.1904382212162
a280,23,7049.0,32396.0,8238.746,2420.0263147653645,136.7620801138401
a280,24,6516.0,31265.0,7635.9402,2404.5221057697486,142.24922881093025
a280,6,6312.0,34557.0,7686.755,2616.231698729164,143.5772693775654
a280,26,6254.0,33751.0,7622.4946,2590.085465098429,147.54939177331926
a280,13,6125.0,33592.0,7634.4546,2563.2202117472507,146.98680763440132
a280,17,6369.0,33164.0,7923.7544,2550.530126868972,140.33865976781846
a280,14,6434.0,34894.0,7807.1756,2609.343415148009,154.44093546700478
a280,27,6293.0,32423.0,7881.4536,2576.879010845163,157.28571298513413
a280,11,6374.0,32672.0,8054.5552,2572.4982120038712,149.14037436113358
a280,21,5993.0,34250.0,7589.7216,2838.0600512787555,149.9291456410885
a280,4,6191.0,33447.0,7502.1702,2649.533130269112,160.30611020154953
a280,9,6163.0,34766.0,7623.3984,2787.2364507310635,164.21237045574188
a280,15,6355.0,33106.0,7913.5482,2539.3089227657606,149.16180482106208
a280,10,6368.0,33950.0,7904.987,2714.771200408077,163.42622380542755
