instance_name,run_num,final_fitness,min_fitness,max_fitness,avg_fitness,fitness_std_dev,avg_time
pcb442,1,215603.0,215603.0,712422.0,266137.0552,64449.83215432525,10396.109261004209
pcb442,2,210614.0,210614.0,715428.0,258569.7514,61794.62115052268,10409.528121931076
pcb442,3,212184.0,212184.0,708139.0,265296.4732,64813.813263705124,10564.189365391112
pcb442,4,206649.0,206649.0,712366.0,255588.09,61918.05314169424,10555.557981589174
pcb442,5,217403.0,217403.0,713076.0,258740.0022,57789.528927833766,10422.326423820161
pcb442,6,229790.0,229790.0,711598.0,279814.7238,61845.69841962912,10221.899176467132
pcb442,7,213613.0,213613.0,724799.0,260770.8672,63050.17602777165,10109.938869943142
pcb442,8,211841.0,211841.0,721192.0,259796.4482,59808.890500790134,10317.343467196655
pcb442,9,206511.0,206511.0,716858.0,259870.7674,60789.02992767697,10230.305470278692
pcb442,10,217776.0,217776.0,722610.0,261659.157,58886.364601734014,10373.229880994224
pcb442,11,207754.0,207754.0,713442.0,260901.1472,59794.721092652,10249.709380839491
pcb442,12,217353.0,217353.0,723465.0,266205.462,60469.89571385819,10402.139040985823
pcb442,13,207545.0,207545.0,710617.0,255732.3052,57864.824562412534,10166.531454397631
pcb442,14,195426.0,195426.0,727385.0,255763.2916,66491.39603319108,10236.566615819884
pcb442,15,202830.0,202830.0,715078.0,252611.819,57741.08178976117,10160.94308190074
pcb442,16,205639.0,205639.0,719245.0,253411.5054,59192.85657303782,10334.354428215265
pcb442,17,210845.0,210845.0,720185.0,261929.229,62967.64414374387,10120.29566913023
pcb442,18,207755.0,207755.0,723832.0,266122.7772,62777.95509673428,10355.024064809799
pcb442,19,223935.0,223935.0,718359.0,276553.7418,61047.860047434966,10647.63416121087
pcb442,20,218097.0,218097.0,704118.0,262336.8024,55127.51275261212,10274.413621171665
pcb442,21,208750.0,208750.0,722492.0,268346.3204,63661.27275800868,10380.291532941961
pcb442,22,206021.0,206021.0,722765.0,259825.558,64619.27146212572,10186.914620350028
pcb442,23,210070.0,210070.0,717843.0,254840.406,60637.25880491498,10247.309186418343
pcb442,24,213870.0,213870.0,714397.0,262568.1338,58392.4361841823,10244.374122678328
pcb442,25,203196.0,203196.0,723737.0,256532.2462,63726.997364722985,10303.83710825839
pcb442,26,212229.0,212229.0,714627.0,267572.9694,59475.60026805541,10088.042772461986
pcb442,27,198480.0,198480.0,712064.0,248365.7862,61169.77078394884,10379.150323876238
pcb442,28,212005.0,212005.0,727229.0,256154.1594,60288.36639214599,10523.624944644786
pcb442,29,203032.0,203032.0,711310.0,253711.0214,60360.1437946094,10168.886067925025
pcb442,30,212713.0,212713.0,709516.0,266438.1628,58992.165328785246,10345.363231467962
pcb442,31,206368.0,206368.0,700936.0,253307.207,60601.422423359814,10406.178463789605
