instance_name,run_num,distancia_minima,distancia_maxima,distancia_promedio,desviacion_distancia,tiempo_promedio
tsp225,30,7491.0,42140.0,8925.3256,2929.2822022517266,211.3397506971359
tsp225,25,7454.0,44280.0,9030.7444,3215.4468317691444,238.0409441339016
tsp225,5,7335.0,39601.0,9192.6612,2905.102105961815,242.07422252531052
tsp225,22,7443.0,39894.0,9300.7486,3005.757032573627,256.3593095995903
tsp225,13,8262.0,42349.0,9694.8714,3012.325108578753,242.89354121994973
tsp225,17,7679.0,40425.0,9131.1378,2864.6758192718885,242.50845855374337
tsp225,12,7553.0,41496.0,9225.1704,3090.265775540436,240.5515852110386
tsp225,28,7628.0,39910.0,9149.4252,2982.7460336383315,270.9390103913784
tsp225,1,7775.0,42061.0,9113.7854,3045.8212994896016,291.62942178120613
tsp225,9,7630.0,39235.0,9072.3036,2907.4681337577554,240.89589005475045
tsp225,16,7499.0,40638.0,9273.8076,2989.536510546713,273.84973463315964
tsp225,7,7476.0,39611.0,9152.5192,2898.4381079340756,253.3355434685707
tsp225,14,7525.0,40648.0,9247.2654,3011.724940094264,255.22184751620293
tsp225,18,7803.0,39493.0,9658.6154,3046.8604791881703,263.4331766177654
tsp225,19,8215.0,40136.0,9654.5208,2906.0961351814813,279.2205950653553
tsp225,8,8042.0,39514.0,9525.557,2894.1440811306315,274.7083296289444
tsp225,26,7670.0,38747.0,9152.8008,2730.1308208910423,268.7222051348686
tsp225,6,8038.0,39019.0,9496.0774,2801.2087156552566,296.2130971537113
tsp225,27,7691.0,39706.0,8944.3364,2839.4324787526325,290.5453516693592
tsp225,31,7516.0,41231.0,9197.23,3019.445963465029,308.18762865262033
tsp225,15,7816.0,42143.0,9432.2026,3083.703897701428,270.58548673043254
tsp225,21,7757.0,41620.0,9140.3538,2837.016413532303,297.75312284750936
tsp225,4,7862.0,40110.0,9207.7536,2781.670226453306,271.91005464687345
tsp225,23,7626.0,40326.0,9505.953,2792.625448313811,270.78496113815305
tsp225,11,7231.0,40617.0,8988.3978,2951.358064762805,299.9065747731209
tsp225,24,7322.0,41385.0,8714.239,3011.5806958367407,284.557364526844
tsp225,10,7292.0,42607.0,8932.0394,3086.957896385769,287.37838337316515
tsp225,20,7508.0,40395.0,9006.5438,2999.09880771095,293.7141998532772
tsp225,29,7815.0,39710.0,9254.9152,2881.988505105055,294.0290938974857
tsp225,2,7545.0,41398.0,9662.3248,3032.0210052669877,325.91570763335227
tsp225,3,8512.0,40679.0,9897.176,2749.7766425185787,309.11332864227296
